English word, French word, Frequency

prepare, préparer, 82
hands, mains, 342
desperate, désespéré, 54
spoke, parlait, 219
padua, Padoue, 41
without, sans pour autant, 368
youth, jeunesse, 318
quoth, quoth, 66
these, celles-ci, 1394
drunk, ivre, 114
music, la musique, 261
would, aurait, 2456
scorn, mépris, 146
warrant, mandat, 195
because, car, 187
silence, silence, 114
somerset, somerset, 147
prison, prison, 260
fairy, Fée, 58
sister, sœur, 238
grief, douleur, 274
viola, alto, 158
excellent, excellent, 125
merchant, marchande, 78
phebe, phebe, 48
devise, concevoir, 57
version, version, 230
guess, devine, 55
drums, tambours, 42
endure, supporter, 81
object, objet, 54
shortly, prochainement, 46
ferdinand, Ferdinand, 53
humble, humble, 94
flight, vol, 56
folly, folie, 80
forest, forêt, 98
vengeance, vengeance, 53
throat, gorge, 78
infinite, infini, 43
least, moins, 101
misery, misère, 39
milan, Milan, 41
minds, esprits, 56
sleep, sommeil, 438
commission, commission, 52
after, après, 543
quiet, silencieux, 110
close, proche, 168
policy, politique, 45
saint, Saint, 149
learn, apprendre, 225
salerio, salerio, 48
weeping, larmes, 62
blood, du sang, 947
straight, tout droit, 161
throw, jeter, 213
speaks, parle, 129
thank, remercier, 517
faces, visages, 53
sweet, sucré, 925
yours, le tiens, 609
undone, défait, 55
violent, violent, 49
forsooth, en vérité, 48
sworn, juré, 197
empty, vide, 54
deadly, mortel, 51
spring, printemps, 91
ambition, ambition, 49
leave, laisser, 748
blush, rougir, 89
besides, outre, 109
knave, fripon, 239
weeds, mauvaises herbes, 44
morrow, demain, 353
laugh, rire, 243
others, autres, 520
faint, perdre connaissance, 76
swift, rapide, 100
murder, meurtre, 215
making, fabrication, 85
gower, gower, 53
minister, ministre, 62
cruel, cruel, 100
often, souvent, 140
remedy, remède, 59
cardinal, cardinal, 172
consent, consentement, 112
suffolk, suffolk, 259
respect, le respect, 144
strange, étrange, 365
aside, de côté, 468
success, Succès, 88
authority, autorité, 55
loose, ample, 60
therefore, par conséquent, 627
creature, créature, 110
child, enfant, 392
trust, confiance, 244
private, privé, 74
companion, un compagnon, 55
young, Jeune, 528
provided, à condition de, 259
tribunes, tribunes, 67
fatal, fatal, 45
wisdom, sagesse, 105
gates, portes, 105
happiness, bonheur, 59
sorry, Pardon, 92
treasure, Trésor, 58
mistake, erreur, 53
embrace, embrasse, 84
cheek, joue, 243
victory, la victoire, 47
cheer, acclamation, 131
praise, louange, 239
better, mieux, 612
special, spécial, 64
contempt, mépris, 55
truth, vérité, 349
service, un service, 485
there, Là, 3094
sweat, transpiration, 53
betray, trahir, 68
swear, jurer, 356
college, Université, 227
copyright, droits d'auteur, 228
approach, approche, 103
turns, se tourne, 73
number, nombre, 103
obedience, obéissance, 60
clarence, clarté, 211
fierce, féroce, 44
struck, frappé, 84
brave, courageux, 223
judge, juge, 121
darkness, obscurité, 39
posthumus, posthume, 129
write, écrire, 162
order, ordre, 145
proceed, procéder, 134
shape, forme, 132
nothing, rien, 640
understand, comprendre, 123
birth, naissance, 101
distributed, distribué, 443
forth, en avant, 441
wives, épouses, 65
mariana, Mariana, 48
heaven, paradis, 853
loving, aimant, 122
unhappy, malheureux, 39
prohibited, interdit, 221
mighty, puissant, 117
silver, argent, 72
despair, désespoir, 62
weapons, armes, 42
blessing, bénédiction, 67
hundred, cent, 120
other, autre, 2845
woman, femme, 512
queen, reine, 989
uncle, oncle, 256
matter, matière, 385
courage, courage, 89
instant, instant, 85
walls, des murs, 85
native, originaire de, 45
yield, rendement, 202
noise, bruit, 117
speak, parler, 1413
sacred, sacré, 47
tender, soumissionner, 176
question, question, 177
bought, acheté, 51
loves, aime, 225
spirit, esprit, 407
picture, image, 52
sharp, tranchant, 90
names, des noms, 50
messenger, Messager, 334
regard, qui concerne, 62
pompey, pompey, 211
wench, jeune fille, 85
witch, sorcière, 139
mirth, gaieté, 53
lucentio, Lucentio, 131
royal, Royal, 255
flies, mouches, 62
tonight, ce soir, 49
shake, secouer, 395
almost, presque, 161
displeasure, mécontentement, 43
steward, intendant, 50
chide, gronder, 59
reign, règne, 328
manner, manière, 175
parolles, parolles, 175
naked, nu, 56
trial, procès, 65
plead, plaider, 63
brains, cerveaux, 49
undertake, entreprendre, 51
venice, venise, 86
copies, copies, 446
judgment, jugement, 117
charity, charité, 55
whether, qu'il s'agisse, 97
raise, élever, 298
quite, assez, 117
tower, la tour, 88
always, toujours, 63
already, déjà, 148
below, au dessous de, 54
estate, biens, 58
crave, demander, 73
kings, rois, 150
pardon, pardon, 327
shall, doit, 3865
touch, toucher, 315
senator, sénateur, 150
condition, état, 89
ladyship, Madame, 45
prayers, prières, 85
shame, la honte, 366
fruit, fruit, 70
cause, cause, 549
dreams, rêves, 46
trick, tour, 94
favour, favoriser, 203
times, fois, 302
wound, blessure, 211
pedro, pedro, 155
saying, en disant, 63
render, rendre, 57
cinna, cinna, 40
abroad, à l'étranger, 64
wounded, blessés, 42
egypt, Egypte, 66
whence, d'où, 76
blunt, cru, 80
chief, chef, 223
dolabella, Dolabella, 39
despite, malgré, 59
burning, brûlant, 52
doctor, docteur, 120
conduct, conduite, 53
until, jusqu'à, 78
sport, sport, 168
reason, raison, 498
thought, pensée, 682
farther, plus loin, 43
lieutenant, lieutenant, 81
maintain, maintenir, 58
taste, goût, 98
marry, marier, 377
grieve, pleurer, 71
wherein, où, 133
oxford, Oxford, 57
liberty, liberté, 73
gentle, doux, 1237
state, Etat, 405
dance, Danse, 113
meeting, réunion, 56
welcome, Bienvenue, 380
goodness, la bonté, 56
cares, se soucie, 36
cloten, cailloter, 111
broke, cassé, 383
deeds, actes, 119
remain, rester, 127
night, nuit, 1216
courtesy, courtoisie, 66
demand, demande, 89
letter, lettre, 384
offend, offenser, 149
rotten, pourri, 40
accuse, accuser, 53
entertainment, divertissement, 38
another, un autre, 455
devil, diable, 293
enemy, ennemi, 167
dread, crainte, 121
giving, donnant, 65
prize, prix, 56
worth, vaut, 594
found, a trouvé, 320
excuse, excuse, 86
humour, humour, 124
taken, pris, 104
grace, la grâce, 719
knight, Chevalier, 189
patience, la patience, 208
where, où, 1873
receive, recevoir, 144
think, pense, 1368
triumph, triomphe, 79
poison, poison, 128
black, noir, 197
cupid, Cupidon, 60
mistress, maîtresse, 461
speech, discours, 163
watch, regarder, 266
oliver, oliver, 58
pluck, cueillir, 163
thing, chose, 1713
fashion, mode, 125
withal, avec, 153
through, par, 284
surely, sûrement, 42
attend, assister, 416
castle, Château, 116
strength, force, 143
tedious, fastidieux, 51
apparel, vêtements, 48
dwell, habiter, 73
philip, Philippe, 90
smell, odeur, 69
exeunt, sortir, 1035
bedford, Bedford, 49
mother, mère, 479
didst, didst, 183
either, Soit, 358
dying, en train de mourir, 54
blows, coups, 73
yourself, toi même, 280
sovereign, souverain, 182
those, ceux, 547
palace, palais, 167
given, donné, 205
glass, verre, 83
might, pourrait, 679
doubt, doute, 255
weight, poids, 63
merit, mérite, 79
worse, pire, 178
longer, plus long, 112
guilty, coupable, 71
measure, mesure, 110
ulysses, Ulysse, 114
surrey, Surrey, 51
senate, sénat, 42
trumpet, trompette, 212
blind, aveugle, 105
memory, Mémoire, 58
absence, absence, 55
banish, bannir, 205
house, maison, 662
anything, n'importe quoi, 105
drops, gouttes, 58
defend, défendre, 85
street, rue, 133
hence, Par conséquent, 583
early, de bonne heure, 109
hours, heures, 141
green, vert, 122
learned, appris, 56
complexion, complexion, 47
cromwell, Cromwell, 44
substance, substance, 43
frown, froncer les sourcils, 88
shore, rive, 85
greet, saluer, 93
valentine, Valentin, 233
stars, étoiles, 71
suddenly, tout à coup, 50
supper, souper, 64
discourse, discours, 67
equal, égal, 69
colour, Couleur, 168
mouth, bouche, 200
dishonour, déshonorer, 70
short, court, 172
window, la fenêtre, 69
fancy, fantaisie, 68
shadow, ombre, 115
fought, combattu, 68
happy, heureux, 243
sickness, maladie, 54
modest, modeste, 100
offence, infraction, 121
golden, d'or, 92
season, saison, 69
catch, capture, 93
enter, entrer, 2519
truly, vraiment, 172
treason, trahison, 116
counsel, Conseil, 176
flowers, fleurs, 47
having, ayant, 158
lives, vies, 213
double, double, 130
affections, affections, 40
hollow, creux, 54
wretch, misérable, 153
clifford, Clifford, 140
mowbray, mowbray, 66
awhile, quelque temps, 102
light, lumière, 611
ladies, Dames, 148
flesh, la chair, 142
worship, culte, 133
bastard, Connard, 234
study, étude, 68
liege, Liege, 145
guard, garde, 202
bright, brillant, 82
labour, la main d'oeuvre, 129
unknown, inconnue, 44
julia, Julia, 154
assure, assurer, 71
glorious, glorieux, 43
grown, grandi, 68
henceforth, désormais, 41
meant, signifiait, 83
wealth, richesse, 113
means, veux dire, 264
mischief, sottises, 50
chain, chaîne, 81
desire, le désir, 310
chair, chaise, 46
heels, talons, 83
miranda, Miranda, 65
soothsayer, devin, 43
disgrace, disgrâce, 58
great, génial, 1147
barren, Dénudé, 43
wrong, faux, 379
eternal, éternel, 40
sword, épée, 427
swore, juré, 60
fellow, compagnon, 445
fetch, chercher, 129
behold, voir, 199
parted, séparé, 56
garden, jardin, 62
heads, têtes, 131
choice, choix, 72
hanging, pendaison, 63
certain, certain, 236
stuff, des trucs, 70
small, petit, 123
commanded, commandé, 40
gallant, galant, 72
quick, rapide, 328
widow, veuve, 142
before, avant, 840
husband, mari, 373
simple, Facile, 129
stomach, estomac, 62
merry, joyeux, 170
looks, regards, 216
shows, montre, 103
orlando, orlando, 164
consider, considérer, 89
majesty, majesté, 270
flatter, flatter, 137
keeps, garde, 76
reignier, règne, 49
rogue, coquin, 108
hostess, hôtesse, 112
whither, où, 89
gross, brut, 96
borne, supporté, 96
hangs, bloque, 37
particular, particulier, 72
water, eau, 207
twice, deux fois, 72
bones, des os, 76
affection, affection, 118
effect, effet, 116
